id,name,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,availability_365,number_of_reviews,review_scores_rating
5103290,Home in Enfield · ★5.0 · 2 bedrooms · 2 beds · 1 bath,11834380,Iveta,01-02-2014,"London, United Kingdom",N/A,N/A,0,2,1,Enfield,Entire home/apt,4,2,$160.00,343,3,5
1162598,Rental unit in London · ★4.68 · 2 bedrooms · 3 beds · 2 baths,6368062,Sarah,13-05-2013,"New South Wales, Australia",N/A,N/A,0,2,1,Kensington and Chelsea,Entire home/apt,5,3,$120.00,0,131,4.68
5139805,Home in London · ★4.91 · 2 bedrooms · 2 beds · 2 baths,26573070,Mark,23-01-2015,"London, United Kingdom",100%,74%,1,3,1,Tower Hamlets,Entire home/apt,4,2,$253.00,54,139,4.91
1325052,Rental unit in London · ★4.92 · 2 bedrooms · 2 beds · 1.5 baths,5210937,Curated,24-02-2013,,100%,84%,1,4,1,Westminster,Entire home/apt,4,2,$467.00,245,109,4.92
5141273,Rental unit in London · ★4.91 · 3 bedrooms · 2 beds · 2 baths,16103415,Gerrard,28-05-2014,"London, United Kingdom",N/A,N/A,0,2,1,Westminster,Entire home/apt,4,2,$150.00,0,11,4.91
5156803,Rental unit in Putney · ★4.91 · 2 bedrooms · 6 beds · 1.5 baths,26668607,Sam,25-01-2015,United Kingdom,100%,100%,1,1,1,Wandsworth,Entire home/apt,6,6,$175.00,90,85,4.91
1334961,Condo in Greater London · ★4.46 · 1 bedroom · 1 bed · 1 bath,463078446,Hayley,07-06-2022,"London, United Kingdom",N/A,N/A,0,1,1,Lambeth,Entire home/apt,2,1,$99.00,295,26,4.46
5210834,Rental unit in London · ★5.0 · 1 bedroom · 1 bed · 1 bath,26956641,Lyn,30-01-2015,"London, United Kingdom",N/A,0%,0,1,1,Lewisham,Private room,2,1,$50.00,343,7,5
5442063,Home in London · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,2037151,Hannah,30-03-2012,"London, United Kingdom",90%,49%,1,2,1,Southwark,Private room,1,1,$48.00,281,4,4.75
1362167,Rental unit in London · ★4.85 · 2 bedrooms · 3 beds · 1 bath,7394530,Sue,10-07-2013,"London, United Kingdom",94%,79%,0,3,1,Wandsworth,Entire home/apt,4,3,$199.00,138,186,4.85
1436259,Rental unit in Marylebone · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,5641686,Oksana,26-03-2013,"London, United Kingdom",100%,68%,0,2,1,Westminster,Private room,1,1,$95.00,76,308,4.82
5476930,Rental unit in London · ★4.84 · 2 bedrooms · 3 beds · 1 bath,28402630,Jana,26-02-2015,"London, United Kingdom",100%,100%,1,1,1,Islington,Entire home/apt,6,3,$154.00,158,294,4.84
5536091,Rental unit in Kingston upon Thames · ★4.43 · 1 bedroom · 1 bed · 1 private bath,28704848,Martin,03-03-2015,"Kingston upon Thames, United Kingdom",N/A,N/A,0,1,1,Kingston upon Thames,Private room,1,1,$35.00,0,21,4.43
1445547,Home in London · ★4.65 · 1 bedroom · 1 bed · 1 bath,7474135,Stella,14-07-2013,"London, United Kingdom",100%,88%,0,6,1,Hackney,Private room,1,1,$61.00,0,31,4.65
5571820,Rental unit in London · 1 bedroom · 1 bed · 1 private bath,28887106,Georgia,06-03-2015,"London, United Kingdom",0%,N/A,0,4,1,Hammersmith and Fulham,Private room,1,1,$146.00,365,1,3
1530381,Rental unit in Greater London · ★4.84 · 1 bedroom · 1 bed · 1 bath,8163091,Jonathan,14-08-2013,"London, United Kingdom",N/A,0%,0,1,1,Lewisham,Entire home/apt,2,1,$68.00,211,19,4.84
5575313,Loft in London · ★4.80 · 1 bedroom · 2 beds · 1 bath,2382508,Dani,15-05-2012,"London, United Kingdom",100%,25%,0,2,1,Westminster,Entire home/apt,2,2,$196.00,204,54,4.8
1562712,Bed and breakfast in Greater London · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,6014741,Simon,20-04-2013,United Kingdom,100%,99%,1,2,1,Bromley,Private room,2,1,$40.00,156,136,4.87
1574249,Condo in London · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,7233201,Sam,02-07-2013,"London, United Kingdom",100%,94%,1,1,1,Southwark,Private room,2,1,$72.00,208,169,4.88
5616712,Rental unit in London · ★4.67 · 2 bedrooms · 2 beds · 2 baths,6451546,Anna,18-05-2013,"London, United Kingdom",N/A,N/A,0,3,1,Camden,Entire home/apt,3,2,$150.00,0,6,4.67
1581883,Rental unit in London · ★4.50 · 2 bedrooms · 4 beds · 2 baths,236619,Rania,16-09-2010,"London, United Kingdom",N/A,100%,0,5,1,Kensington and Chelsea,Entire home/apt,5,4,$400.00,364,24,4.5
1646537,Rental unit in London · ★4.38 · 1 bedroom · 1 bed · 1 shared bath,5747106,Salwa,03-04-2013,"London, United Kingdom",N/A,100%,0,4,1,Westminster,Private room,2,1,$60.00,344,210,4.38
1727002,Home in London · ★4.91 · 2 bedrooms · 2 beds · 1 private bath,2443213,Annabelle,23-05-2012,"London, United Kingdom",100%,93%,1,2,1,Greenwich,Private room,4,2,$123.00,118,89,4.91
5638548,Rental unit in London · ★4.67 · 2 bedrooms · 2 beds · 1 bath,25979930,Jennifer,12-01-2015,"Edinburgh, United Kingdom",N/A,N/A,0,2,1,Westminster,Entire home/apt,4,2,$110.00,0,6,4.67
5812261,Home in London · ★5.0 · 3 bedrooms · 4 beds · 3 baths,13889235,Malin,04-04-2014,"London, United Kingdom",100%,0%,0,1,1,Hackney,Entire home/apt,5,4,$275.00,235,3,5
1838003,Home in Greater London · ★5.0 · 5 bedrooms · 6 beds · 3 baths,9592683,Emily,23-10-2013,"London, United Kingdom",N/A,N/A,0,3,0,Wandsworth,Entire home/apt,9,6,$350.00,0,4,5
5894213,Rental unit in London · ★4.86 · 1 bedroom · 2 beds · 1 bath,9027768,Filippo,24-09-2013,"London, United Kingdom",100%,77%,1,1,1,Wandsworth,Entire home/apt,4,2,$81.00,18,94,4.86
5930549,Rental unit in London · ★4.87 · 2 bedrooms · 3 beds · 1 bath,30160044,Charl,28-03-2015,"London, United Kingdom",100%,100%,1,3,1,Westminster,Entire home/apt,5,3,$286.00,197,123,4.87
1852971,Rental unit in Greater London · ★4.90 · 1 bedroom · 1 bed · 1 bath,9675191,Feifei,28-10-2013,"Tokyo, Japan",N/A,N/A,0,1,1,Hammersmith and Fulham,Entire home/apt,2,1,$128.00,0,42,4.9
5986255,Rental unit in London · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,8115593,Eva,14-03-2015,"London, United Kingdom",100%,96%,1,2,1,Hammersmith and Fulham,Private room,2,1,$79.00,43,113,4.89
1959198,Home in Kensal Rise · 1 bedroom · 1 bed · 1 bath,9608265,Jennifer,24-10-2013,,100%,N/A,0,3,1,Brent,Private room,1,1,$70.00,351,0,
6042584,Rental unit in London · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,19946917,Kathy,13-08-2014,"London, United Kingdom",N/A,N/A,0,7,1,Westminster,Private room,2,1,$38.00,0,51,4.76
2035532,Rental unit in Greater London · ★4.43 · 1 bedroom · 2 beds · 1 bath,10961046,Ivy,02-01-2014,"London, United Kingdom",94%,72%,0,99,1,Kensington and Chelsea,Entire home/apt,4,2,$227.00,344,7,4.43
6050854,Home in London · ★4.65 · 1 bedroom · 1 bed · 1.5 baths,16774103,Mark,14-06-2014,"London, United Kingdom",94%,93%,1,18,1,Wandsworth,Private room,2,1,$72.00,360,71,4.65
6055413,Rental unit in London · ★4.93 · 1 bedroom · 2 beds · 1 bath,31418030,Terry,17-04-2015,,N/A,N/A,0,1,0,Haringey,Entire home/apt,2,2,$65.00,0,15,4.93
6098794,Home in London · 1 bedroom · 1 bed · 1 bath,3900127,Daniele,17-10-2012,"London, United Kingdom",N/A,N/A,0,1,1,Southwark,Private room,2,1,$39.00,0,2,5
6133258,Rental unit in London · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,11724384,Mia,28-01-2014,"London, United Kingdom",100%,100%,1,3,1,Southwark,Private room,2,1,$91.00,9,50,4.74
6166982,Home in Hackney · ★4.75 · 3 bedrooms · 6 beds · 1 bath,31596159,Lisa,20-04-2015,"London, United Kingdom",N/A,N/A,0,1,1,Hackney,Entire home/apt,7,6,$109.00,0,16,4.75
2039984,Rental unit in Greater London · ★4.67 · 3 bedrooms · 3 beds · 1.5 baths,9445299,Jamie,15-10-2013,"London, United Kingdom",N/A,100%,0,1,0,Hackney,Entire home/apt,5,3,$180.00,0,3,4.67
2040676,Rental unit in Greater London · ★4.78 · 2 bedrooms · 2 beds · 1 bath,10406778,Peter,03-12-2013,"London, United Kingdom",N/A,N/A,0,1,1,Lewisham,Entire home/apt,4,2,$60.00,0,9,4.78
6181613,Rental unit in London · ★4.86 · 2 bedrooms · 2 beds · 2 baths,20001519,VanZyl,14-08-2014,"London, United Kingdom",100%,96%,1,175,1,Kensington and Chelsea,Entire home/apt,4,2,$317.00,215,14,4.86
2158844,Rental unit in Greater London · ★4.31 · 1 bedroom · 1 bed · 1 bath,11016143,Nicolas,04-01-2014,"London, United Kingdom",95%,92%,1,12,1,Hackney,Entire home/apt,2,1,$99.00,71,186,4.31
6183220,Rental unit in London · ★4.89 · 1 bedroom · 1 bed · 1 private bath,16679421,Jac,11-06-2014,"Camden Town, United Kingdom",100%,55%,0,2,1,Camden,Private room,1,1,$53.00,318,46,4.89
2184602,Rental unit in London · ★4.49 · 1 bedroom · 1 bed · 1 bath,11140776,Alexandra,09-01-2014,"London, United Kingdom",100%,99%,1,3,1,Hammersmith and Fulham,Entire home/apt,2,1,$110.00,35,65,4.49
6230326,Rental unit in London · Studio · 1 bed · 1 bath,25510989,Stephane,02-01-2015,"Tokyo, Japan",N/A,N/A,0,1,1,Camden,Entire home/apt,2,1,$90.00,0,0,
2279473,Rental unit in Hampstead · ★4.96 · 2 bedrooms · 3 beds · 2 baths,10077533,Ger,17-11-2013,"London, United Kingdom",100%,77%,1,3,1,Camden,Entire home/apt,4,3,$295.00,68,23,4.96
6232984,Rental unit in London · ★4.33 · 1 bedroom · 1 bath,27653028,Laura-Lé,12-02-2015,"Milan, Italy",0%,0%,0,6,1,Hackney,Private room,3,,$100.00,0,3,4.33
2328336,Home in Greater London · 4 bedrooms · 4 beds · 1 bath,11893873,Sarah,03-02-2014,"London, United Kingdom",N/A,N/A,0,1,1,Camden,Entire home/apt,6,4,$250.00,0,0,
6249798,Rental unit in London · ★4.93 · Studio · 1 bed · 1 bath,13326068,Henry,20-03-2014,"London, United Kingdom",100%,98%,0,18,1,Croydon,Entire home/apt,4,1,$85.00,256,15,4.93
2416056,Rental unit in London Borough of Islington · ★4.88 · 2 bedrooms · 2 beds · 1 bath,10673524,Milena,17-12-2013,,75%,86%,1,4,1,City of London,Entire home/apt,4,2,$200.00,290,273,4.88
6274007,Home in London · ★4.75 · 1 bedroom · 1 bed · 1 private bath,275837660,Sy,13-07-2019,,100%,100%,1,11,1,Merton,Private room,1,1,$65.00,180,40,4.75
6316596,Rental unit in London · 1 bedroom · 1 bed · 1 bath,174808,James,20-07-2010,"London, United Kingdom",N/A,N/A,0,3,0,Hackney,Private room,1,1,$40.00,0,0,
2460607,Home in Greater London · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,12581712,Sophie,25-02-2014,"London, United Kingdom",100%,25%,0,1,0,Haringey,Private room,2,1,$70.00,80,3,5
6325468,Rental unit in London · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,32851458,Jess,07-05-2015,"London, United Kingdom",N/A,N/A,0,2,1,Wandsworth,Private room,2,1,$40.00,0,27,4.74
2533176,Rental unit in London · ★4.65 · 4 bedrooms · 6 beds · 1.5 baths,6875353,Nathan,12-06-2013,"Sydney, Australia",100%,99%,0,24,1,Tower Hamlets,Entire home/apt,10,6,$424.00,0,250,4.65
6333986,Rental unit in London · ★4.25 · 1 bedroom · 1 bed · 1 bath,32973470,Jake,09-05-2015,"London, United Kingdom",N/A,N/A,0,1,0,Tower Hamlets,Private room,2,1,$30.00,0,4,4.25
6385223,Rental unit in London Borough of Hackney · 1 bedroom · 1 bed · 1 shared bath,21141875,Marcio,09-09-2014,"London, United Kingdom",N/A,N/A,0,1,1,Hackney,Private room,2,1,$50.00,0,0,
2693280,Home in London · ★4.63 · 3 bedrooms · 3 beds · 1.5 baths,12964763,Carly,09-03-2014,"London, United Kingdom",N/A,0%,0,1,1,Enfield,Entire home/apt,6,3,$285.00,344,8,4.63
2705865,Home in London · ★4.83 · 3 bedrooms · 4 beds · 3.5 baths,1370179,Alistair,04-11-2011,United Kingdom,100%,100%,0,2,1,Brent,Entire home/apt,6,4,$250.00,0,12,4.83
6409512,Rental unit in London · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,33429536,Eddie,15-05-2015,"London, United Kingdom",N/A,N/A,0,2,1,Haringey,Private room,2,1,$50.00,0,176,4.82
2729885,Condo in London · ★4.85 · 1 bedroom · 1 bed · 1 private bath,2369445,Regan,14-05-2012,"London, United Kingdom",100%,100%,1,4,1,Westminster,Private room,2,1,$130.00,4,402,4.85
6422809,Condo in London · ★4.77 · 1 bedroom · 1 bed · 1 bath,32585891,Thomas,04-05-2015,"London, United Kingdom",100%,100%,1,2,1,Southwark,Entire home/apt,2,1,$95.00,3,117,4.77
2738049,Rental unit in London · ★4.63 · 2 bedrooms · 2 beds · 1 bath,9082827,Raffles,27-09-2013,"London, United Kingdom",100%,56%,0,4,1,Kensington and Chelsea,Entire home/apt,2,2,$175.00,115,49,4.63
6432372,Townhouse in London · ★4.95 · 1 bedroom · 1 bed · 1 private bath,33573893,Alex,17-05-2015,"London, United Kingdom",100%,97%,1,2,1,Wandsworth,Private room,1,1,$70.00,261,128,4.95
6474667,Boutique hotel in Fulham · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,33802425,Susie,20-05-2015,"London, United Kingdom",100%,0%,0,11,1,Hammersmith and Fulham,Private room,2,1,$77.00,337,49,4.73
2854777,Home in London · ★4.92 · 5 bedrooms · 5 beds · 2 baths,14094847,Rachel,09-04-2014,"London, United Kingdom",100%,25%,0,1,1,Hackney,Entire home/apt,8,5,$340.00,365,13,4.92
6475256,Rental unit in London · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,26294026,Shannon,18-01-2015,"London, United Kingdom",N/A,100%,1,2,1,Lambeth,Private room,1,1,$56.00,0,66,4.95
6486912,Rental unit in London · ★4.91 · 1 bedroom · 1 bed · 1 bath,4066492,Tim,05-11-2012,"Brighton, United Kingdom",N/A,N/A,0,1,1,Hammersmith and Fulham,Entire home/apt,2,1,$106.00,0,22,4.91
2895862,Home in Carshalton · ★4.93 · 3 bedrooms · 4 beds · 2 baths,14795116,Jacqueline,27-04-2014,"London, United Kingdom",100%,100%,0,1,1,Sutton,Private room,7,4,$60.00,44,265,4.93
6533477,Rental unit in Haringey · 2 bedrooms · 2 beds · 1 bath,34170472,John,25-05-2015,,N/A,N/A,0,1,0,Haringey,Entire home/apt,4,2,$95.00,0,0,
2916820,Rental unit in London · ★5.0 · 1 bedroom · 1 bed · 1 bath,14804792,Gina,27-04-2014,"London, United Kingdom",N/A,N/A,0,1,1,Camden,Entire home/apt,2,1,$195.00,0,14,5
6588400,Rental unit in London · ★5.0 · 1 bedroom · 1 bed · 1 bath,23133885,Chloe,30-10-2014,"London, United Kingdom",100%,33%,0,2,1,Wandsworth,Entire home/apt,2,1,$97.00,102,7,5
2925961,Rental unit in London · 1 bedroom · 1 bed · 1 bath,14939812,Clare,30-04-2014,"Bristol, United Kingdom",N/A,N/A,0,2,1,Southwark,Entire home/apt,2,1,$65.00,0,0,
6607008,Home in London · 3 bedrooms · 3 beds · 1 bath,30985403,Aida,10-04-2015,"London, United Kingdom",N/A,N/A,0,1,1,Waltham Forest,Entire home/apt,5,3,$150.00,0,1,5
2964617,Rental unit in London · ★4.34 · 3 bedrooms · 4 beds · 1.5 baths,15127465,Rex,05-05-2014,,92%,68%,0,3,1,Southwark,Entire home/apt,7,4,$182.00,363,251,4.34
6619558,Rental unit in London · 1 bedroom · 1 bed · 1 bath,33878654,Aoife,21-05-2015,"London, United Kingdom",N/A,N/A,0,2,1,Hammersmith and Fulham,Private room,2,1,$70.00,0,0,
6676812,Rental unit in London · 1 bedroom · 1 bed · 1 bath,34912020,Maisie,03-06-2015,,N/A,N/A,0,1,0,Camden,Private room,1,1,$65.00,0,1,5
3038126,Rental unit in London · ★4.76 · 1 bedroom · 1 bed · 1 bath,15471233,Florence,13-05-2014,"London, United Kingdom",N/A,N/A,0,1,1,Camden,Entire home/apt,2,1,$100.00,0,25,4.76
3073628,Rental unit in London · 1 bedroom · 1 bed · 1 bath,7894365,Foteini,02-08-2013,"London, United Kingdom",N/A,N/A,0,2,1,Tower Hamlets,Private room,2,1,$26.00,0,0,
6788921,Rental unit in London · ★4.67 · 2 bedrooms · 2 beds · 2 baths,35541218,Tim,11-06-2015,"London, United Kingdom",N/A,N/A,0,1,1,Tower Hamlets,Entire home/apt,4,2,$150.00,0,3,4.67
6811617,Home in London · ★4.79 · 5 bedrooms · 10 beds · 2.5 baths,20544193,Laura,26-08-2014,"London, United Kingdom",80%,35%,0,33,1,Camden,Entire home/apt,10,10,$500.00,83,47,4.79
3183354,Rental unit in London · ★4.83 · 1 bedroom · 1 bed · 1 bath,16139503,Elena,29-05-2014,"London, United Kingdom",100%,77%,0,2,1,Westminster,Entire home/apt,2,1,$320.00,344,48,4.83
6821240,Rental unit in London · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,850206,Ruth,21-07-2011,"London, United Kingdom",N/A,N/A,0,1,0,Southwark,Private room,1,1,,0,3,4.33
3238731,Rental unit in London · 1 bedroom · 1 bed · 1 bath,16141357,Den,29-05-2014,"London, United Kingdom",N/A,N/A,0,1,0,Lambeth,Private room,2,1,,0,0,
6841397,Rental unit in London · 2 bedrooms · 2 beds · 1 bath,14088625,Jo,09-04-2014,"London, United Kingdom",N/A,N/A,0,1,1,Hounslow,Entire home/apt,4,2,$190.00,0,0,
3270765,Condo in London · ★4.93 · 2 bedrooms · 2 beds · 2 baths,2747945,Mark,26-06-2012,"London, United Kingdom",100%,92%,1,1,1,Southwark,Entire home/apt,4,2,$586.00,347,106,4.93
6860603,Townhouse in London · ★4.46 · 1 bedroom · 5 beds · 1 shared bath,34109076,Patrik,24-05-2015,"London, United Kingdom",100%,100%,1,6,1,Brent,Private room,5,5,$36.00,341,229,4.46
3295048,Rental unit in London · ★4.67 · 2 bedrooms · 1 bed · 1 bath,12281741,Maha,16-02-2014,"London, United Kingdom",100%,43%,0,1,1,Islington,Entire home/apt,2,1,$110.00,182,55,4.67
6912665,Rental unit in London · ★4.67 · 1 bedroom · 2 beds · 1.5 baths,30190530,Bee,29-03-2015,"London, United Kingdom",N/A,N/A,0,1,1,Merton,Entire home/apt,3,2,$125.00,0,3,4.67
3323762,Rental unit in Greater London · 1 bedroom · 1 bed · 1 bath,3911595,Giorgio,18-10-2012,"London, United Kingdom",0%,100%,0,2,1,Tower Hamlets,Entire home/apt,2,1,$99.00,286,0,
6919435,Rental unit in London · 1 bedroom · 1 bed · 1 bath,36265440,Dessi,20-06-2015,"London, United Kingdom",N/A,N/A,0,1,1,Hackney,Private room,2,1,$42.00,0,0,
6933001,Home in London · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,36346675,Ewa,21-06-2015,"England, United Kingdom",100%,99%,1,4,1,Ealing,Private room,2,1,$71.00,112,121,4.92
3348338,Rental unit in London · ★4.68 · 1 bedroom · 2 beds · 1.5 baths,117783293,Bianca,23-02-2017,"London, United Kingdom",100%,100%,0,41,1,Islington,Entire home/apt,4,2,$149.00,62,253,4.68
